len_domain,max_len_labels_subdomain,character_entropy,number_numerical_characters,ratio_numerical_characters,max_len_cont_num_chars,max_len_cont_alpha_chars,max_len_cont_same_alpha_chars,ratio_vowels,max_length_continuous_consonants,number_distinct_A_records,ip_entropy_domain_name,number_distinct_NS_records,similarity_NS_domain_name,Class
10,7,2.9,0,0.0,0,7,1,0.3,3,1,0.0,4,8.5,benign
10,7,2.3,0,0.0,0,7,1,0.1,7,0,0.0,8,10.86,benign
8,6,3.0,0,0.0,0,6,1,0.375,2,2,1.0,3,1.0,benign
12,9,3.6,0,0.0,0,9,1,0.3333333333333333,3,88,2.74,7,11.71,benign
13,10,3.2,0,0.0,0,10,1,0.4615384615384615,2,2,0.0,2,3.0,benign
9,6,2.4,0,0.0,0,6,1,0.4444444444444444,1,4,2.0,4,7.67,benign
15,12,3.4,0,0.0,0,12,1,0.4,3,10,3.12,8,17.18,benign
8,5,2.8,0,0.0,0,5,1,0.25,3,0,0.0,15,9.79,benign
8,6,2.2,0,0.0,0,6,1,0.5,2,1,0.0,2,1.0,benign
6,3,2.3,2,0.3333333333333333,1,3,1,0.1666666666666666,1,1,0.0,6,6.2,benign
17,14,3.3,0,0.0,0,14,2,0.3529411764705882,2,77,4.98,9,10.28,benign
6,3,2.3,0,0.0,0,3,1,0.1666666666666666,3,2,1.0,10,10.76,benign
21,18,3.6,0,0.0,0,18,2,0.4285714285714285,3,1,0.0,8,10.75,benign
11,8,3.1,0,0.0,0,8,1,0.2727272727272727,4,6,2.58,2,1.0,benign
17,15,3.5,0,0.0,0,15,1,0.2941176470588235,2,0,0.0,5,6.5,benign
11,8,3.1,0,0.0,0,8,1,0.3636363636363636,3,1,0.0,2,1.0,benign
13,10,3.2,0,0.0,0,10,1,0.3076923076923077,3,2,0.0,6,13.27,benign
12,9,3.4,0,0.0,0,9,1,0.4166666666666667,2,1,0.0,6,4.33,benign
6,4,2.3,0,0.0,0,4,1,0.1666666666666666,2,2,1.0,3,1.0,benign
10,7,3.1,0,0.0,0,7,1,0.3,3,14,0.73,11,10.6,benign
12,9,3.3,0,0.0,0,9,1,0.3333333333333333,3,0,0.0,2,1.0,benign
6,3,2.6,0,0.0,0,3,1,0.3333333333333333,2,2,0.0,2,3.0,benign
10,7,3.1,0,0.0,0,7,1,0.4,3,0,0.0,4,8.5,benign
14,11,3.3,0,0.0,0,11,2,0.3571428571428571,2,1,0.0,2,1.0,benign
8,5,3.0,1,0.125,1,4,1,0.375,1,2,1.0,3,1.0,benign
10,7,3.1,0,0.0,0,7,2,0.3,2,1,0.0,8,9.18,benign
7,4,2.5,0,0.0,0,4,1,0.1428571428571428,4,0,0.0,2,4.0,benign
12,9,3.3,0,0.0,0,9,1,0.25,3,0,0.0,4,8.67,benign
13,10,3.4,0,0.0,0,10,1,0.3846153846153846,2,2,1.0,22,9.59,benign
9,6,2.9,0,0.0,0,6,1,0.1111111111111111,6,1,0.0,8,7.75,benign
14,11,3.5,0,0.0,0,11,1,0.3571428571428571,3,5,1.52,7,7.1,benign
18,15,3.6,0,0.0,0,15,1,0.4444444444444444,3,4,1.5,12,10.2,benign
11,8,3.3,0,0.0,0,8,1,0.3636363636363636,2,4,1.0,2,4.0,benign
12,9,3.3,0,0.0,0,9,1,0.25,4,0,0.0,2,3.0,benign
10,7,2.5,0,0.0,0,7,1,0.3,2,17,2.18,4,1.0,benign
13,10,3.1,0,0.0,0,10,2,0.3846153846153846,2,6,1.46,2,1.0,benign
11,8,3.1,0,0.0,0,8,1,0.4545454545454545,3,6,1.46,6,13.6,benign
9,6,2.7,0,0.0,0,6,1,0.4444444444444444,2,0,0.0,12,11.24,benign
10,7,3.1,0,0.0,0,7,1,0.4,2,3,0.0,8,4.79,benign
9,7,2.7,0,0.0,0,7,1,0.3333333333333333,2,2,1.0,4,8.83,benign
14,11,3.4,0,0.0,0,11,2,0.3571428571428571,2,0,0.0,4,1.0,benign
10,7,2.6,0,0.0,0,7,1,0.3,2,0,0.0,6,3.07,benign
7,5,2.5,0,0.0,0,5,1,0.4285714285714285,2,3,1.58,4,1.0,benign
9,6,2.7,0,0.0,0,6,1,0.4444444444444444,1,35,4.51,9,9.81,benign
11,8,3.1,0,0.0,0,8,1,0.4545454545454545,2,1,0.0,10,6.22,benign
11,8,2.9,0,0.0,0,8,2,0.3636363636363636,2,0,0.0,10,9.27,benign
16,13,3.8,0,0.0,0,13,1,0.4375,3,0,0.0,2,1.0,benign
12,9,3.1,0,0.0,0,9,1,0.3333333333333333,2,0,0.0,9,9.22,benign
11,8,3.1,0,0.0,0,8,1,0.4545454545454545,2,2,0.0,2,2.0,benign
11,8,3.1,0,0.0,0,8,1,0.4545454545454545,1,2,0.0,16,9.08,benign
10,7,3.3,0,0.0,0,7,1,0.5,2,1,0.0,5,12.7,benign
13,10,3.1,0,0.0,0,10,1,0.3076923076923077,3,0,0.0,4,8.67,benign
11,8,3.3,0,0.0,0,8,2,0.3636363636363636,3,0,0.0,4,8.67,benign
9,6,2.7,0,0.0,0,6,1,0.2222222222222222,3,0,0.0,4,8.83,benign
17,14,3.0,0,0.0,0,14,2,0.2941176470588235,3,1,0.0,12,13.44,benign
15,12,3.2,0,0.0,0,12,1,0.4,2,2,1.0,10,8.02,benign
13,10,3.0,0,0.0,0,10,1,0.3846153846153846,2,0,0.0,8,8.86,benign
9,6,2.5,0,0.0,0,6,1,0.3333333333333333,2,0,0.0,2,1.0,benign
13,10,3.2,0,0.0,0,10,2,0.3846153846153846,2,1,0.0,5,9.9,benign
9,6,2.5,0,0.0,0,6,1,0.4444444444444444,1,17,3.18,10,12.89,benign
17,14,3.3,0,0.0,0,14,2,0.3529411764705882,2,46,4.8,10,12.67,benign
11,8,3.5,0,0.0,0,8,1,0.2727272727272727,3,4,1.0,2,6.0,benign
12,9,2.9,0,0.0,0,9,2,0.3333333333333333,2,29,1.34,2,1.0,benign
12,9,3.1,0,0.0,0,9,2,0.4166666666666667,2,1,0.0,4,8.33,benign
13,10,3.1,0,0.0,0,10,2,0.3846153846153846,2,6,2.25,4,8.33,benign
10,7,2.9,0,0.0,0,7,1,0.3,4,1,0.0,9,8.56,benign
8,5,3.0,0,0.0,0,5,1,0.375,2,2,1.0,8,8.5,benign
8,6,2.4,0,0.0,0,6,2,0.5,2,0,0.0,4,1.83,benign
8,5,2.8,0,0.0,0,5,2,0.25,3,1,0.0,2,1.0,benign
9,6,3.2,0,0.0,0,6,1,0.3333333333333333,2,1,0.0,8,7.04,benign
9,6,2.9,0,0.0,0,6,1,0.2222222222222222,3,4,0.81,6,1.0,benign
17,14,3.6,0,0.0,0,14,1,0.2941176470588235,3,2,0.0,4,1.33,benign
18,15,3.6,0,0.0,0,15,2,0.3888888888888889,4,0,0.0,5,5.8,benign
10,7,3.3,0,0.0,0,7,1,0.4,1,2,0.0,4,8.17,benign
14,11,3.4,0,0.0,0,11,1,0.4285714285714285,2,1,0.0,17,10.96,benign
9,7,2.9,0,0.0,0,7,1,0.5555555555555556,2,0,0.0,3,1.0,benign
